"SUT","Variant","Branch","ProjectKey","CompileScope","CompileExitCode","Compiles","StartedAt","FinishedAt","DurationSeconds","ResultPath"
"SnapshotComparer","C0","experiment/snapshot-c0","zookeeper-snapshotcomparer-c0-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T22:18:14.4328266+02:00","2026-08-17T22:18:54.0681308+02:00","39,64","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"SnapshotComparer","C1","experiment/snapshot-c1","zookeeper-snapshotcomparer-c1-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T22:33:21.6947988+02:00","2026-08-17T22:33:55.1772657+02:00","33,48","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"SnapshotComparer","C2","experiment/snapshot-c2","zookeeper-snapshotcomparer-c2-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T22:42:43.2514583+02:00","2026-08-17T22:43:13.2773449+02:00","30,03","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\sonar-production"
"SnapshotComparer","C3","experiment/snapshot-c3","zookeeper-snapshotcomparer-c3-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T22:46:47.5800290+02:00","2026-08-17T22:47:27.4981224+02:00","39,92","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\sonar-production"
"SnapshotComparer","C4","experiment/snapshot-c4","zookeeper-snapshotcomparer-c4-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T22:50:08.7360340+02:00","2026-08-17T22:50:42.1182110+02:00","33,38","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\sonar-production"
"WatchManager","C0","experiment/watchmanager-c0","zookeeper-watchmanager-c0-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T22:56:32.9148486+02:00","2026-08-17T22:57:06.1222824+02:00","33,21","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c0\sonar-production"
"WatchManager","C1","experiment/watchmanager-c1","zookeeper-watchmanager-c1-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T23:00:13.5790041+02:00","2026-08-17T23:00:47.6886953+02:00","34,11","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c1\sonar-production"
"WatchManager","C2","experiment/watchmanager-c2","zookeeper-watchmanager-c2-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T23:04:16.0926040+02:00","2026-08-17T23:04:59.6815323+02:00","43,59","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c2\sonar-production"
"WatchManager","C3","experiment/watchmanager-c3","zookeeper-watchmanager-c3-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T23:07:37.3161496+02:00","2026-08-17T23:08:07.8634886+02:00","30,55","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c3\sonar-production"
"WatchManager","C4","experiment/watchmanager-c4","zookeeper-watchmanager-c4-production","zookeeper-server Maven module with system dependencies","0","True","2026-08-17T23:10:53.0412071+02:00","2026-08-17T23:11:37.7670943+02:00","44,73","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c4\sonar-production"
