"SUT","BaselineVariant","ComparedVariant","Feature","Direction","C0Value","CXValue","Delta","DeltaPct","Interpretation","ResultPath"
"SnapshotComparer","C0","C1","Classes","NEUTRAL","4","4","0","0","UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","CodeSmells","HIGHER_WORSE","47","37","-10","-21,28","POTENTIAL_MAINTAINABILITY_IMPROVEMENT","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","CognitiveComplexity","HIGHER_WORSE","91","59","-32","-35,16","POTENTIAL_MAINTAINABILITY_IMPROVEMENT","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","CommentLines","CONTEXTUAL","21","24","3","14,29","CONTEXTUAL_CHANGE","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","CommentLinesDensityPct","CONTEXTUAL","54","33","-21","-38,89","CONTEXTUAL_CHANGE","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","Complexity","HIGHER_WORSE","71","82","11","15,49","POTENTIAL_MAINTAINABILITY_REGRESSION","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","DuplicatedLines","HIGHER_WORSE","0","0","0","","UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","DuplicatedLinesDensityPct","HIGHER_WORSE","0","0","0","","UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","Functions","NEUTRAL","22","40","18","81,82","CONTEXTUAL_CHANGE","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
"SnapshotComparer","C0","C1","Lines","NEUTRAL","459","896","437","95,21","CONTEXTUAL_CHANGE","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\comparison-vs-c0"
