"ProjectKey","SUT","Variant","Branch","IssueKey","Rule","Type","Severity","Line","Message","NormalizedMessage","Fingerprint","Effort","Debt","Status","Tags","ResultPath"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY7","java:S115","CODE_SMELL","CRITICAL","51","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","2min","2min","OPEN","convention","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY8","java:S115","CODE_SMELL","CRITICAL","52","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","2min","2min","OPEN","convention","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY9","java:S115","CODE_SMELL","CRITICAL","53","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","2min","2min","OPEN","convention","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY-","java:S115","CODE_SMELL","CRITICAL","54","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","2min","2min","OPEN","convention","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY_","java:S115","CODE_SMELL","CRITICAL","55","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","2min","2min","OPEN","convention","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qZA","java:S115","CODE_SMELL","CRITICAL","56","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","2min","2min","OPEN","convention","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZB","java:S106","CODE_SMELL","MAJOR","122","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZC","java:S106","CODE_SMELL","MAJOR","134","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZD","java:S106","CODE_SMELL","MAJOR","138","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZE","java:S106","CODE_SMELL","MAJOR","139","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZF","java:S1075","CODE_SMELL","MINOR","185","Remove this hard-coded path-delimiter.","remove this hard-coded path-delimiter.","java:S1075|remove this hard-coded path-delimiter.","20min","20min","OPEN","android;cert","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZG","java:S1117","CODE_SMELL","MAJOR","187","Rename ""size"" which hides the field declared at line 147.","rename ""size"" which hides the field declared at line <n>.","java:S1117|rename ""size"" which hides the field declared at line <n>.","5min","5min","OPEN","cert;pitfall;suspicious","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZH","java:S1117","CODE_SMELL","MAJOR","219","Rename ""root"" which hides the field declared at line 209.","rename ""root"" which hides the field declared at line <n>.","java:S1117|rename ""root"" which hides the field declared at line <n>.","5min","5min","OPEN","cert;pitfall;suspicious","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
