"ProjectKey","SUT","Variant","Branch","SourceFile","Ncloc","Lines","CommentLines","CommentLinesDensityPct","Complexity","CognitiveComplexity","CodeSmells","Violations","TechnicalDebtMinutes","MaintainabilityRating","TechnicalDebtRatioPct","DuplicatedLines","DuplicatedLinesDensityPct","Functions","Classes","ResultPath"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","src/main/java/org/apache/zookeeper/server/SnapshotComparer.java","367","459","21","5,4","71","91","47","48","401","A","3,6","0","0","22","4","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","src/main/java/org/apache/zookeeper/server/SnapshotComparer.java","711","896","24","3,3","82","59","37","38","359","A","1,7","0","0","40","4","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c2-production","SnapshotComparer","C2","experiment/snapshot-c2","src/main/java/org/apache/zookeeper/server/SnapshotComparer.java","678","861","18","2,6","75","53","36","36","345","A","1,7","0","0","35","4","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\sonar-production"
"zookeeper-snapshotcomparer-c3-production","SnapshotComparer","C3","experiment/snapshot-c3","src/main/java/org/apache/zookeeper/server/SnapshotComparer.java","740","893","18","2,4","85","55","32","32","297","A","1,3","0","0","43","4","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\sonar-production"
"zookeeper-snapshotcomparer-c4-production","SnapshotComparer","C4","experiment/snapshot-c4","src/main/java/org/apache/zookeeper/server/SnapshotComparer.java","735","872","18","2,4","83","56","39","40","347","A","1,6","0","0","40","4","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\sonar-production"
"zookeeper-watchmanager-c0-production","WatchManager","C0","experiment/watchmanager-c0","src/main/java/org/apache/zookeeper/server/watch/WatchManager.java","303","377","10","3,2","79","86","3","3","41","A","0,5","0","0","21","1","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c0\sonar-production"
"zookeeper-watchmanager-c1-production","WatchManager","C1","experiment/watchmanager-c1","src/main/java/org/apache/zookeeper/server/watch/WatchManager.java","445","554","9","2","88","69","3","3","22","A","0,2","0","0","35","1","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c1\sonar-production"
"zookeeper-watchmanager-c2-production","WatchManager","C2","experiment/watchmanager-c2","src/main/java/org/apache/zookeeper/server/watch/WatchManager.java","452","593","9","2","95","66","3","3","22","A","0,2","0","0","39","1","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c2\sonar-production"
"zookeeper-watchmanager-c3-production","WatchManager","C3","experiment/watchmanager-c3","src/main/java/org/apache/zookeeper/server/watch/WatchManager.java","466","584","9","1,9","92","65","3","3","22","A","0,2","0","0","38","1","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c3\sonar-production"
"zookeeper-watchmanager-c4-production","WatchManager","C4","experiment/watchmanager-c4","src/main/java/org/apache/zookeeper/server/watch/WatchManager.java","438","565","6","1,4","92","66","2","2","12","A","0,1","0","0","35","1","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c4\sonar-production"
